,tokenized_column
34,"['@', 'falameuanjo', 'éeeh', 'a', 'pandemia', 'ainda', 'não', 'acabou', '...', 'omicron', ',', 'lembram', '?']"
35,"['British', 'studies', 'warn', 'of', 'Omicron', '’', 's', 'speed', ',', 'and', 'one', 'notes', 'the', 'need', 'for', 'boosters', '.', 'https', ':', '//t.co/8qKLVqoQFS', 'https', ':', '//t.co/utXi9DFART']"
36,"['@', 'AllisonPearson', '@', 'ancientscream', 'Sadly', ',', 'latest', 'data', 'from', 'S', 'Africa', 'suggests', 'natural', 'immunity', 'from', 'Delta', 'does', ""n't"", 'work', 'well', 'with', 'Omicron', '.', 'Part', 'of', 'the', 'reason', 'for', 'all', 'the', 'fuss', '.']"
37,"['@', 'LogicBomb111', '@', 'hjelle_brian', 'Well', 'if', 'cases', 'are', 'declining', ',', 'it', 'shows', 'that', 'prior', 'infection', 'is', 'preventing', 'more', 'omicron', 'intentions', 'than', 'expected', '.', 'Otherwise', 'the', 'math', 'does', ""n't"", 'follow', '.']"
38,"['Das', '7', 'pessoas', 'que', 'foram', 'atacadas', 'pelo', 'Ômicron', ',', 'todas', 'eram', 'vacinadas', ',', 'então', 'passaporte', 'sanitário', 'não', 'impede', ',', 'vacina', 'não', 'resolve', '.', 'Sou', 'contra', 'passaporte', 'sanitário', '!']"
39,"['@', 'FourWinns298', 'MOH', 'omitted', 'one', 'of', 'our', 'most', 'vulnerable', 'groups', 'from', 'covid19', 'booster', 'shot', 'priority', 'list', '.', 'Adults', 'with', 'developmental', 'disabilities', 'were', 'on', 'the', 'highest', 'priority', 'list', 'in', 'phase', '1', '.', 'What', 'happened', '?', 'Why', 'are', 'they', 'being', 'abandoned', 'with', 'omicron', 'on', 'the', 'rise', '?', 'They', 'deserve', 'an', 'explanation', '!', '@', 'ONThealth', 'https', ':', '//t.co/rlhA599id1']"
40,"['Tuivasa', 'just', 'getting', 'that', 'natural', 'immunity', 'in', 'check', 'with', 'the', 'shoey', ',', 'Omicron', 'is', 'afraid', 'of', 'catching', 'some', 'Tuivasa', '#', 'ufotwitter']"
41,"['@', 'Clarksterh', '@', 'cpoetzscher', '@', 'zeynep', 'What', ""'s"", 'the', 'math', 'here', '?', 'I', 'would', 'think', 'we', ""'re"", 'already', 'well', 'past', 'the', 'point', 'where', 'new', 'omicron/day', 'generated', 'locally', 'in', 'US', '&', 'gt', ';', '#', 'reasonably', 'likely', 'to', 'arrive', 'via', 'flights', '*', 'from', 'the', 'restricted', 'nations', '*', '.', 'No', '?']"
42,"['@', 'insiliconot', '@', 'Artaxzerxes', 'I', 'have', ""n't"", 'fully', 'researched', 'the', 'Omicron', 'variant', 'cos', 'I', ""'ve"", 'been', 'busy', 'recently', ',', 'but', 'I', 'will', 'say', 'that', 'these', 'mutations', 'would', 'not', 'have', 'happened', 'if', 'people', 'actually', 'took', 'the', 'vaccine', 'when', 'they', 'were', 'supposed', 'to', 'to', 'make', 'the', 'R', 'rate', 'tend', 'to', '0', '.', 'Less', 'opportunities', 'for', 'mutations', 'to', 'occur', '.']"
43,"['VOILA', 'Omicron', ':', '“', 'Plus', 'un', 'variant', 'devient', 'contaminant', ',', 'moins', 'il', 'devient', 'virulent.', '”', '[', '…', ']', 'Aujourd', '’', 'hui', 'on', 'constate', 'une', 'dangerosité', 'extrêmement', 'faible', 'à', 'la', 'fois', 'chez', 'les', 'gens', 'vaccinés', 'que', 'chez', 'les', 'non', 'vaccinés', '”', 'https', ':', '//t.co/D1j5twXQdm']"
44,"['Good', 'Morning', 'All', ':', 'Last', 'week', 'of', 'term', '.', 'Flying', 'to', 'UK', 'on', 'Friday', '.', 'I', ""'m"", 'bricking', 'it', '-', 'all', 'the', 'bureaucracy', 'and', 'omicron', 'particles', '.', 'Oh', 'Well', '.', 'Be', 'kind', '-', 'watch', ',', 'like', ',', 'subscribe', ',', 'retweet', '....', 'have', 'a', 'great', 'day', '.', 'https', ':', '//t.co/xyWuRT2PSd']"
45,"['El', 'primer', 'estudio', 'del', 'mundo', 'real', 'sobre', 'cómo', 'las', 'vacunas', 'se', 'mantienen', 'frente', 'a', 'la', 'variante', 'Omicron', 'mostró', 'una', 'caída', 'significativa', 'en', 'la', 'protección', 'contra', 'los', 'casos', 'sintomáticos', 'causados', 'por', 'la', 'forma', 'nueva', 'y', 'de', 'rápida', 'propagación', 'del', 'coronavirus', '.']"
