,tokenized_column
881,"['@', 'ShawnB9871', 'Omicron', 'has', 'landed', 'in', 'the', 'laps', 'of', 'the', 'Sheeple', 'They', 'seem', 'to', 'be', 'relentless', 'and', 'keep', 'on', 'following', 'and', 'obeying', 'the', 'government', 'We', 'have', 'to', 'work', 'on', 'these', 'Sheeple', 'somehow', ',', 'and', 'then', 'the', 'government', 'will', 'realize', 'their', 'plans', 'to', 'control', 'every', 'aspect', 'of', 'peoples', 'lives', 'are', 'not', 'working', 'https', ':', '//t.co/OkjrgILolh']"
882,"['British', 'study', 'on', 'Omicron', 'suggests', 'huge', 'wave', 'in', 'January', 'https', ':', '//t.co/Eur1axBzGB', 'https', ':', '//t.co/4s5xs4M4oK']"
883,"['Brasil', 'confirma', 'primer', 'caso', 'de', 'transmisión', 'local', 'de', 'variante', 'ómicron', 'El', 'contagio', 'por', 'ómicron', 'fue', 'confirmado', 'en', 'un', 'hombre', 'de', '67', 'años', 'de', 'edad', 'que', 'vive', 'en', 'Sao', 'Paulo', ',', 'y', 'que', 'no', 'ha', 'realizado', 'ningún', 'viaje', 'al', 'exterior', 'en', 'los', 'últimos', 'meses', '.', 'https', ':', '//t.co/3DaVpLyGd3']"
884,"['#', 'BlackTwitter', '#', 'NoMandatoryVaccines', '#', 'HowCanYouTrustThem', '?', 'Read', '@', 'TheFinalCall', '*', '``', '#', 'CDC', 'said', 'that', 'of', 'the', '43', 'cases', 'attributed', 'to', 'Omicron', 'variant', ',', '34', 'people', 'had', 'been', 'fully', '#', 'vaccinated', 'Fourteen', 'of', 'them', 'had', 'also', 'received', 'a', 'booster', '...', ""''"", 'https', ':', '//t.co/HSku6pRjYk']"
885,"['@', 'MrDamienBlack', 'If', 'no', 'one', 'dies', 'from', 'Omicron', '…why', 'do', 'they', 'give', 'you', 'a', 'vaccine', 'to', 'prevent', 'you', 'from', 'dying', 'from', 'Omicron', '?']"
886,"['કોરોનાના', 'ભરડામાં', 'વિદ્યાર્થીઓ', ':', 'નવસારીમાં', 'વધુ', 'એક', 'વિદ્યાર્થી', 'કોરોના', 'પોઝિટિવ', 'આવતા', 'તંત્ર', 'થયું', 'દોડતું', '#', 'Corona', '#', 'Student', '#', 'Navsari', '#', 'Omicron', 'https', ':', '//t.co/fB2SLrtrPq']"
887,"['Brasil', 'confirma', 'primer', 'caso', 'de', 'transmisión', 'local', 'de', 'variante', 'ómicron', 'El', 'contagio', 'por', 'ómicron', 'fue', 'confirmado', 'en', 'un', 'hombre', 'de', '67', 'años', 'de', 'edad', 'que', 'vive', 'en', 'Sao', 'Paulo', ',', 'y', 'que', 'no', 'ha', 'realizado', 'ningún', 'viaje', 'al', 'exterior', 'en', 'los', 'últimos', 'meses', '.', 'https', ':', '//t.co/zSCd7Ks1hg']"
888,"['@', 'SoydeZaragoza', 'A', 'Ómicron', 'le', 'gusta', '👍']"
889,"['@', 'whelmsville', '@', 'randsco', '@', 'Lidsville', '@', 'JFante8', '@', 'chantz_y', '@', 'MoriartyLab', '#', 'BONNIECRON', 'overtook', 'omicron', 'in', 'BC']"
890,"['CDC', 'Admits', 'Omicron', 'Almost', 'Entirely', 'Spread', 'By', 'The', 'Vaccinated', '&', 'amp', ';', 'The', 'COVID', '...', 'https', ':', '//t.co/0YG2EzFad4', 'via', '@', 'YouTube']"
891,"['@', 'TheNickFoy', 'Omicron', 'is', 'the', 'joke', '...']"
892,"['@', 'Northwomn', '@', 'AliKatt31', '@', 'DrEricDing', 'Vaccines', 'provide', 'SOME', 'immunity', 'from', 'omicron', '.', 'Omicron', 'is', 'included', 'in', 'some', 'of', 'the', 'graphs', 'he', 'included', 'in', 'his', 'thread', '.']"
893,"['@', 'webimaginacion', '@', 'R46265278', '@', 'BNODesk', 'If', 'you', 'believe', 'that', 'they', 'sequenced', 'the', 'first', 'occurrence', 'of', 'Omicron', 'like', 'immediately', 'on', 'the', 'day', 'that', 'it', 'mutated', ',', 'then', 'yes', '.', 'But', 'I', '‘', 'm', 'certain', 'Omicron', 'already', 'circulated', 'for', 'at', 'least', 'over', '1', 'week', 'before', 'epidemiologists', 'in', 'SA', 'by', 'chance', 'detected', 'it', 'in', 'a', 'routine', 'sequencing', '.']"
894,"['Covid', 'cases', 'compared', ':', 'How', 'the', 'UK', 'compares', 'to', 'Europe', 'as', 'Omicron', 'takes', 'hold', 'https', ':', '//t.co/KOre0ocLkd']"
895,"['@', 'MartySilkHack', 'Double', 'AZ', 'no', 'protection', 'against', 'Omicron', '.', 'Booster', 'asap', '.']"
896,"['Turkey', 'detects', 'the', 'first', 'six', 'cases', 'of', 'the', 'Omicron', 'variant', 'of', 'Covid-19', 'https', ':', '//t.co/OrpiQ5xd2X']"
897,"['A', 'Omicron', 'tem', 'comprovante', 'de', 'vacina', ',', 'o', 'ministrE', 'do', 'SUPREME', 'não', 'viu', 'na', 'mídia', 'que', 'os', 'que', 'chegaram', 'no', 'Brasil', 'vieram', 'vacinados', ',', 'com', 'passaporte', 'vacinal', '(', 'senão', 'não', 'embarcavam', 'nos', 'voos', 'de', 'origem', ')', ',', 'e', 'contaminados', 'com', 'a', '#', 'OmicronVirus', '.', '@', 'LRobertoBarroso', 'vai', 'fazer', 'cara', 'de', 'paisagem', '?', '?', '?', 'https', ':', '//t.co/YIlRbd8XTI']"
898,"['@', 'jim63895391', 'Omicron', 'is', 'ridiculous', '.', '38', 'countries', 'no', 'deaths', '.', 'A', 'real', 'leader', 'would', 'seek', 'the', 'positives', ',', 'not', 'pump', 'out', 'fearful', 'nonsense', '.']"
899,"['Jornal', 'O', 'Globo', ':', 'São', 'Paulo', 'já', 'tem', 'transmissão', 'comunitária', 'de', 'variante', 'Ômicron', 'do', 'coronavírus', '.', 'https', ':', '//t.co/ebvklzekWS', 'via', '@', 'GoogleNews']"
900,"['@', '4crosspurposes', '@', 'rnz_news', 'yes', 'and', 'from', 'all', 'the', 'current', 'news', 'it', 'seems', 'omicron', 'is', 'milder', '.', 'so', 'mr', 'Baker', 'is', 'unnecessary', 'creating', 'fear', 'again', '.', 'He', 'should', 'think', 'more', 'before', 'fear', 'monger', 'in', 'the', 'media', '.']"
901,"['Omicron', 'ಅಪಾಯಗಳ', 'ಮಧ್ಯೆ', 'RBI', 'ಪ್ರಮುಖ', 'ದರಗಳನ್ನು', 'ತಡೆಹಿಡಿಯುತ್ತದೆ', ';', 'ವಿಶ್ಲೇಷಕರು', 'ತೂಗುತ್ತಾರೆ', 'https', ':', '//t.co/5S3zvMedL4']"
902,"['On', 'those', 'two', 'negative', 'AZ', 'effectivenesses', 'against', 'Omicron', ',', 'erroneous', ':', '``', 'The', 'early', 'observations', 'for', 'two', 'doses', 'of', 'AZ', 'likely', 'to', 'be', 'unreliable', 'as', 'they', 'are', 'based', 'on', 'relatively', 'small', 'numbers', 'and', 'are', 'likely', 'to', 'reflect', 'an', 'older', 'population', 'and', 'a', 'population', 'with', 'more', 'co-morbidities', '...', ""''""]"
903,"['@', 'DavidJoffe64', 'So', 'Australia', 'is', 'now', 'less', 'than', '3', '%', 'fully', 'vaxxed', ',', '@', 'GregHuntMP', '.', 'Hardly', 'a', 'formidable', 'barrier', 'against', '#', 'Omicron', '.', 'European', 'Union', ',', 'UK', ',', 'South', 'Korea', 'amongst', 'jurisdictions', 'saying', 'all', 'adults', 'to', 'receive', 'extra', 'dose', '3', 'months', 'after', 'initial', 'vaccination', '.', 'You', 'leave', 'Australia', 'exposed', '2', 'years', 'running']"
904,"['Good', 'fortune', 'with', 'omicron', 'https', ':', '//t.co/qBGibk7scA', 'via', '@', 'YouTube']"
905,"['What', 'happens', ',', 'then', ',', 'to', 'those', 'confirmed', 'positive', ',', 'yet', 'awaiting', 'confirmation', 'of', 'omicron', 'variant', '?']"
906,"['``', 'Virtually', 'everything', 'points', 'toward', 'it', 'being', 'milder', 'disease', ""''"", '.', 'Omicron', 'is', 'being', 'managed', 'at', 'home', 'and', 'people', 'are', 'recovering', 'faster', ',', 'doctors', 'and', 'medical', 'experts', 'in', 'South', 'Africa', 'say', '.', 'https', ':', '//t.co/D8OVmoQJWA']"
907,"['@', 'RealDeniseWelch', 'The', 'Pfizer', 'guy', 'said', 'a', 'new', '3', 'series', 'Vax', 'is', 'coming', 'out', 'to', 'deal', 'with', 'Omicron', '.', 'Get', 'in', 'line', '!', 'So', 'that', ""'s"", 'your', '2', ',', 'plus', 'a', 'booster', ',', 'plus', 'another', '3', '.', 'Let', ""'s"", 'gooooooooo', '!']"
908,"['@', 'RamousKodes', '@', 'BallouxFrancois', '@', 'cyborglawyer', '@', 'ElizAthertonSop', '@', 'SGriffin_Lab', '@', 'WishUnewWho', '@', 'tylerblack32', 'You', 'ca', ""n't"", 'be', 'possibly', 'looking', 'through', '@', 'unusual_times', ""'"", 'tweets', 'and', 'unironically', 'agree', 'with', 'him', '?', '!', 'The', 'man', 'is', 'completely', 'deranged', 'from', 'reality', 'and', 'in', 'denial', 'over', 'Omicron', '...', 'While', '@', 'unusual_times', 'may', 'or', 'may', 'not', 'need', 'help', ',', 'I', 'am', 'not', 'the', 'one', 'to', 'act', 'as', 'an', 'armchair', 'psychologist', 'over', 'Twitter', '.']"
909,"['@', 'murpharoo', '@', 'msmarto', '@', 'Paul_Karp', '@', 'danielhurstbne', 'Re', 'the', 'pronunciation', 'of', 'Omicron', ':', 'ask', 'a', 'Greek', 'person', '!', '@', 'JaiyCon']"
910,"['@', 'J_L_Quintana', '@', 'EPExtremadura', 'El', 'número', 'de', 'casos', 'de', 'ómicron', 'se', 'duplica', 'cada', '2,5', 'días', '!', '!', '!', 'Vivan', 'las', 'fiestas', 'y', 'la', 'libertad', 'de', 'horarios', '!', '!', '!']"
911,"['@', 'SilentSnake84', '@', 'FrauKmit_H', '@', 'Karl_Lauterbach', 'Wenn', 'man', 'keine', 'Statistik', 'lesen', 'kann', 'einfach', 'mal', 'die', '...', 'halten', '.', 'Es', 'waren', '6', 'Coronatodesfälle', '(', 'Omicron', ')', 'U19', 'in', 'der', 'letzten', 'Woche', '.', '🙄']"
912,"['@', 's_hesz', '@', 'jorinde_wiese', '@', 'Karl_Lauterbach', 'Ich', 'muss', 'doch', 'gar', 'nicht', 'so', 'viele', 'oder', 'mehr', 'Infizieren', ',', 'wie', 'ihr', 'am', 'Tag', 'impft', ',', 'um', 'ein', 'Problem', 'für', 'euch', 'darzustellen', '.', 'Das', 'ist', 'ja', 'das', 'Schöne', 'daran', '.']"
913,"['CANADA', ',', '@', 'CPHO_Canada', 'is', 'now', 'predicting', '10,000', 'cases', 'a', 'day', 'with', 'Omicron', 'and', 'wants', 'us', 'to', 'cancel', 'Christmas', '.', 'Remember', 'last', 'year', 'when', 'she', 'said', 'we', 'would', 'have', '20,000', 'cases', 'a', 'day', '?', 'How', 'did', 'that', 'work', 'out', 'Mr.', 'Tam', '?', 'Stop', 'the', 'fear', 'mongering', '.', 'WTFU', 'Canada', '.']"
914,"['Is', 'Omicron', 'the', 'Pandemic', 'Killer', '?', '|', 'Exclusive', 'Interview', 'with', 'Dr.', 'Omar', 'Hama', '...', 'https', ':', '//t.co/0Zn4jvpMUn', 'via', '@', 'YouTube']"
915,"['URGENT', ':', 'Stunning', 'data', 'from', 'South', 'Africa', 'suggest', 'Omicron', 'may', 'be', 'the', 'end', 'of', 'Covid', '(', 'and', 'of', 'Covid', 'vaccines', ')', 'https', ':', '//t.co/Bbe6ll4PWf']"
916,"['#', 'skynews', ':', 'in', 'comparison', 'to', 'Denham', ',', '@', 'queenchristina_', 'is', 'informed', ',', 'balanced', 'and', 'proportionate', 'on', '#', 'Omicron', ',', 'and', 'fully', 'understands', 'the', 'need', 'to', 'increase', 'precautions', 'to', 'prevent', 'deaths', ',', 'rather', 'than', 'waiting', 'for', 'escalating', 'deaths', 'to', 'prove', 'the', 'need', 'for', 'precautions', '.']"
917,"['@', 'DrDayaSharma', '😬', 'so', '.', 'Omicron', 'seems', 'to', 'move', 'fast', 'huh', '?']"
918,"['@', 'BennerJonathan', '@', 'rosefacade', '@', 'HNTurtledove', 'It', 'must', 'be', 'so', 'hard', 'being', 'so', 'profoundly', 'stubborn', 'Its', 'why', 'you', ""'ll"", 'take', 'a', 'Vax', 'to', 'save', 'old', 'people', 'from', 'Covid', 'at', 'the', 'expense', 'of', 'your', 'kids', 'that', 'get', 'hit', 'hard', 'by', 'Delta', 'and', 'Omicron', '(', 'Man', 'Made', 'Variants', ')', '15', 'years', 'for', 'Sars', 'to', 'Evolve', 'to', 'Covid', '2', 'Years', 'for', 'Covid', 'to', 'Evolve', 'to', 'Delta', 'then', 'Omicron']"
919,"['Las', 'autoridades', 'sanitarias', 'británicas', 'advierten', 'que', 'el', 'número', 'de', 'contagios', 'por', 'ómicron', 'llegará', 'al', 'millón', 'para', 'finales', 'de', 'diciembre', 'https', ':', '//t.co/PkLvIlzJ0f']"
920,"['Recordatorio', 'de', 'que', 'la', 'Omicron', 'no', 'mató', 'a', 'nadie', 'en', 'ningún', 'lugar', 'del', 'mundo', '.']"
921,"['@', 'GovMurphy', 'How', 'many', 'of', 'the', '6', 'million', 'will', 'get', 'omicron', '?', '!']"
922,"['@', 'rnz_news', 'Typical', 'reply', '......', 'look', 'ALL', 'the', 'data', 'so', 'far', 'shows', 'Omicron', 'really', 'isnt', 'a', 'concern', ',', 'it', 'is', 'infact', 'the', 'way', 'https', ':', '//t.co/jBNBzKn1IS', 'the', 'borders', 'let', 'every', 'one', 'catch', 'it', 'then', 'drop', 'all', 'the', 'mandates', 'and', 'move', 'on', '...', 'bloody', 'simple', '...', 'if', 'it', 'werent', 'for', 'political', 'agenda']"
923,"['La', 'eficacia', 'de', 'la', 'vacuna', 'de', 'Pfizer', 'contra', 'ómicron', 'es', 'del', '22,5', '%', ',', 'advierten', 'desde', 'Sudáfrica', '-', 'RT', 'https', ':', '//t.co/QBDTSso0RP']"
924,"['Department', 'of', 'Health', 'confirms', '12', 'active', 'omicron', 'cases', 'in', 'Hawaii', 'https', ':', '//t.co/H2VeNpmd1K']"
925,"['@', 'BorisJohnson', '@', 'sajidjavid', '@', 'BorisJohnson', 'Our', 'children', 'have', 'no', 'protection', 'against', '#', 'Omicron', 'STOP', 'using', 'them', 'as', 'your', 'guinea', 'pigs', '#', 'CloseSchoolsNOW', '#', 'RemoteLearning']"
926,"['``', 'Omicron', '’', 's', 'emergence', 'should', 'end', 'any', '&', 'amp', ';', 'all', 'vaccination', 'efforts', 'with', 'mRNA', 'vaccines', '.', 'The', 'risk', 'profile', 'is', 'worsening', '.', 'The', 'Netherlands', 'saw', 'all-cause', 'mortality', '41', '%', 'above', 'normal', 'in', 'its', 'most', 'recent', 'week', 'of', 'data', '.', 'Only', 'one', 'of', 'five', 'of', 'those', 'deaths', 'was', 'Covid', 'related', '.', ""''"", 'https', ':', '//t.co/DQ0YLx7hev']"
927,"['@', 'Zeinobia', 'Thank', 'you', ',', 'it', ""'s"", 'scary', 'again', '.', 'Trying', 'to', 'register', 'for', 'a', 'booster', ',', 'as', '2', 'vaccines', 'almost', 'futile', 'for', 'Omicron', 'which', 'of', 'course', 'is', 'well', 'and', 'truly', 'here', '.']"
928,"['@', 'roysters23456', '@', 'Kenductor', 'Omicron', 'itself', 'is', 'nothing', 'to', 'be', 'afraid', 'of', ',', 'though', '.', 'The', 'majority', 'of', 'people', 'have', 'been', 'vaccinated', ',', 'so', 'please', 'stay', 'safe', ',', 'anyway', '.']"
929,"['El', 'primer', 'contagiado', 'con', 'la', 'variante', '#', 'Ómicron', 'en', '#', 'México', 'fue', 'vacunado', 'con', '#', 'Pfizer', 'https', ':', '//t.co/Gi9kAh8kXc']"
930,"['omicron', ':', 'UK', 'could', 'face', 'major', 'Omicron', 'wave', 'from', 'January', 'next', 'year', ',', 'new', 'analysis', 'warns', '-', 'Times', 'of', 'India', 'https', ':', '//t.co/5V0jdEBLDW']"
931,"['DR.', 'ZEBALLOS', 'SOBRE', 'A', 'NOVA', 'CEPA', 'OMICRON', ',', 'VAMOS', 'COM', 'CAUTELA', '.', 'https', ':', '//t.co/pVM3eDLcTK', 'via', '@', 'YouTube']"
932,"['@', 'ecojag', '@', 'chelsea_hetho', '@', 'MikeCarlton01', '@', 'abcnews', 'If', 'you', 'don', '’', 't', 'know', 'what', 'Omicron', 'is', ',', 'you', 'really', 'shouldn', '’', 't', 'be', 'commenting', 'on', 'Omicron', 'now', 'should', 'you', 'LOL']"
933,"['Scientists', 'fear', 'falling', 'trust', 'in', 'Boris', 'Johnson', 'could', 'harm', 'bid', 'to', 'curb', 'Omicron', 'surge', '|', 'Coronavirus', 'https', ':', '//t.co/FfkdheSfk3']"
934,"['@', 'ryangerritsen', 'Has', 'omicron', 'been', 'found', 'in', 'an', 'unvaccinated', 'individual', 'yet', '?']"
935,"['Omicron', 'is', 'weaker', 'than', 'Delta', '.', 'The', 'media', 'quoting', 'a', '``', 'scientist', ""''"", ':', 'WE', ""'RE"", 'ALL', 'GOING', 'TO', 'DIE', '!', 'THE', 'END', 'IS', 'NEAR', '!', 'https', ':', '//t.co/IlA3Jn3ZWb']"
936,"['Israeli', 'study', 'finds', 'Pfizer', 'COVID-19', 'booster', 'protects', 'against', 'Omicron', 'https', ':', '//t.co/W2KvITNN12']"
937,"['Ómicron', ':', 'qué', 'dicen', 'los', 'primeros', 'estudios', 'sobre', 'la', 'eficacia', 'de', 'las', 'vacunas', 'contra', 'la', 'nueva', 'variante', '.', 'https', ':', '//t.co/NyP0gHMoYS', 'vía', '@', 'eldiario']"
938,"['Federal', 'Health', 'minister', 'says', 'NSW', 'has', 'gone', 'from', 'Gold', 'Standard', 'to', 'World', 'Standard', '!', 'First', 'NSW', 'Omicron', 'case', 'in', 'hospital', 'among', '10', 'new', 'infections', 'of', 'the', 'variant', 'https', ':', '//t.co/IJbxTR4uhk']"
939,"['@', 'crystalmundypsy', 'F', '#', 'ck', '!', 'At', 'this', 'rate', 'this', 'is', ""n't"", 'ending', 'anytime', 'soon', '.', 'Have', ""n't"", 'they', 'heard', 'of', 'Omicron', '!', 'And', 'Delta', 'is', 'surging', 'again', '.']"
940,"['@', 'Stephengm99', '@', 'QhaosM', '@', 'grizzlybearx1', '@', '_Summerti_28_', 'And', 'I', 'repeat', '.', 'Yes', ',', 'zero', 'deaths', 'in', 'the', 'U.S.', 'One', 'hospitalization', 'more', 'than', 'likely', 'hospitalized', 'for', 'a', 'condition', 'other', 'than', 'Omicron', 'just', 'like', 'the', 'cases', 'in', 'Africa', '.', 'https', ':', '//t.co/Awmvjugzrm']"
941,"['Israeli', 'study', 'finds', 'Pfizer', 'COVID-19', 'booster', 'protects', 'against', 'Omicron', 'https', ':', '//t.co/R6iQady4AI']"
942,"['Glad', 'my', 'booster', 'was', 'Pfizer', '!', '😎', 'Israeli', 'study', 'finds', 'Pfizer', 'COVID-19', 'booster', 'protects', 'against', 'Omicron', 'https', ':', '//t.co/JxbnRFQbY5']"
943,"['@', 'deejayyou', '@', 'ctvottawa', 'It', 'may', 'be', 'covid', '.', 'Omicron', ',', 'megatron', 'or', 'otherwise', ',', 'it', ""'s"", 'a', 'damn', 'shame', 'they', ""'re"", 'still', 'closing', 'schools', 'over', 'this', 'bullshit', '.', 'Sorry', 'for', 'your', 'inconvenience', '.', 'It', ""'s"", 'extremely', 'unfortunate', '.', 'Truly', '.']"
944,"['The', 'new', '#', 'Omicron', 'variant', 'of', '#', 'Covid19', 'may', 'pose', '“', 'a', 'fresh', 'risk', '”', 'to', 'the', 'ongoing', 'global', 'recovery', ',', 'but', 'its', 'impact', 'would', 'be', '“', 'less', 'severe', '”', 'for', 'India', 'due', 'to', 'the', 'increasing', 'pace', 'of', 'vaccination', 'in', 'the', 'country', 'https', ':', '//t.co/NuGpkdDsEw']"
945,"['#', 'Omicron', '&', 'gt', ';', '&', 'gt', ';', '&', 'gt', ';']"
946,"['@', 'EssexPR', 'its', 'not', 'lies', '...', 'those', 'people', 'will', 'suffer', 'and', 'die', 'next', 'winter', 'not', 'from', 'omicron', 'its', 'totally', 'survivable', 'to', 'the', 'unvaxxed', 'but', 'from', 'the', 'fkn', 'jab', 'that', 'destroyed', 'their', 'immune', 'systems', '...', 'omicron', 'is', 'mild', 'but', 'to', 'the', 'vaxxed', 'its', 'going', 'to', 'be', 'deadly', 'like', 'most', 'everything', 'else']"
947,"['@', 'ShastaSharon', 'Im', 'thinking', 'it', 'could', 'be', 'a', 'clever', 'trap', 'by', 'Omicron', '.', 'Cant', 'go', 'rushing', 'in', '.', '🤔']"
948,"['@', 'RealDeniseWelch', 'I', 'said', ',', 'a', 'year', 'ago', ',', 'its', 'all', 'a', 'crock', 'of', 'shit', 'a', 'genocidal', 'farce', ',', 'becoming', 'more', 'and', 'more', 'apparent', 'now', ',', 'next', 'variant', 'will', 'be', ',', 'zetaprime', 'or', 'something', '.', 'so', 'they', 'can', 'stick', 'jab', 'numba', '4', 'in', 'people', '.', 'it', 'sounds', 'like', 'a', 'transfomer', 'name', ',', 'omicron', ',', 'they', 'pick', 'they', 'names', 'out', 'of', 'a', 'hat', '.']"
949,"['Based', 'on', 'current', 'modeling', 'that', 'suggests', 'Omicron', 'taking', 'over', 'Delta', 'as', 'the', 'dominant', 'variant', 'in', 'the', 'UK', 'will', 'occur', 'late', 'Dec/early', 'Jan', ',', 'would', 'guess', 'we', 'see', 'a', 'similar', 'type', 'of', 'winter', 'surge', 'late-Jan/Feb', 'in', 'the', 'US', '.']"
950,"['75,000', 'deaths', 'in', 'five', 'months', 'predicted', 'in', 'the', 'UK', 'under', 'current', 'Covid', 'measures', '.', 'In', 'related', 'news', ',', 'a', 'South', 'African', 'study', 'reveals', 'the', 'Pfizer', 'double', 'dose', 'regime', 'has', 'only', '23', '%', 'efficacy', 'against', 'the', 'Omicron', 'variant', '.', 'https', ':', '//t.co/jMqsxEp2Fm', '#', 'COVID', '#', 'CovidPlanB']"
951,"['Waterloo', 'investigating', '‘', 'high', 'probability', '’', 'of', 'Omicron', 'cases', 'linked', 'to', '2', 'hockey', 'tournament', 'outbreaks', 'https', ':', '//t.co/NS1bOWd3xy']"
952,"['Waterloo', 'investigating', '‘', 'high', 'probability', '’', 'of', 'Omicron', 'cases', 'linked', 'to', '2', 'hockey', 'tournament', 'outbreaks', 'https', ':', '//t.co/OnEnX3e6aZ']"
953,"['@', 'DrTomFrieden', 'We', 'adapt', '?', 'New', 'vaccines', 'based', 'on', 'Omicron', 'are', 'still', 'some', 'months', 'to', 'manufacture', '&', 'amp', ';', 'more', 'months', 'in', 'roll', 'out', '.', 'Catch', 'up', 'is', 'going', 'to', 'be', 'messy', '.', 'We', 'need', 'to', 'give', 'attention', 'to', 'post', 'covid', 'syndromes', '.', 'Like', 'long', 'covid', '&', 'amp', ';', 'other', 'ailments', 'pooping', 'up', '.']"
954,"['Does', 'anyone', 'remember', 'the', 'U.K.', 'Govt', 'contract', 'issued', 'last', 'year', 'about', 'buying', 'body', 'bag', 'storage', 'for', 'excess', 'deaths', '?', 'Primarily', 'covering', 'London', '.', 'What', 'did', 'they', 'think', 'was', 'going', 'to', 'happen', 'this', 'Winter', 'back', 'then', '?', 'Clue', '.', 'It', 'was', 'not', 'omicron', 'since', 'it', 'did', 'not', 'exist', 'back', 'then', '.']"
955,"['@', 'Lidsville', '@', 'TorontoStar', 'Omicron', 'is', ""n't"", 'a', 'threat', '.', 'The', 'symptoms', 'are', 'mild', 'according', 'to', 'the', 'WHO', 'and', 'the', 'South', 'African', 'doctor', 'who', 'isolated', 'the', 'variant', '.', 'Cases', 'in', 'South', 'Africa', 'are', 'their', 'lowest', 'since', 'the', 'pandemic', 'began', '.', 'Bruce', 'Arthur', 'is', 'practicing', 'irresponsible', 'fearmongering']"
956,"['@', 'jackmurphylive', 'Instead', 'of', 'Omicron', 'let', '’', 's', 'make', 'it', 'Omega', 'and', 'be', 'done', 'with', 'it', '.']"
957,"['💯', '%', 'and', 'if', 'we', ""'re"", 'to', 'belive', 'what', 'they', ""'ve"", 'told', 'us', 'about', 'variants', 'then', 'we', ""'re"", 'over', 'the', 'worst', '.', 'Omicron', 'should', 'be', 'allowed', 'to', 'run', 'its', 'course', '.', 'It', 'kills', 'off', 'the', 'other', 'variants', 'but', 'is', ""n't"", 'killing', 'people', '.']"
958,"['@', 'grahamcresswell', '@', 'SteveBakerHW', 'Because', 'now', 'it', '’', 's', 'finally', 'being', 'admitted', 'that', 'two', 'jabs', 'offers', 'very', 'poor', 'levels', 'of', 'protection', 'against', 'Omicron', '.', 'Sorry', ',', 'you', '’', 've', 'been', 'sold', 'a', 'dud', '.', 'Snakes', 'and', 'Ladders', 'isn', '’', 't', 'a', 'plan', 'for', 'pandemics', '.']"
959,"['COVID-19', 'thế', 'giới', '12-12', ':', 'Ấn', 'Độ', ',', 'Singapore', 'làm', 'được', 'kit', 'phát', 'hiện', 'nhanh', 'Omicron', 'https', ':', '//t.co/fd8qiahRtA']"
960,"['@', 'RedrichLFC', '@', 'MikeAubury', '@', 'PippaCrerar', 'yeah', ',', 'cause', 'Sage', 'have', 'been', 'right', 'all', 'along', 'ffs', ',', 'wake', 'up', '.', 'We', 'are', 'told', 'the', 'NHS', 'will', 'not', 'be', 'able', 'to', 'cope', 'every', 'year', ',', 'and', 'every', 'year', 'it', 'turns', 'out', 'to', 'be', 'bollox', 'Omicron', 'is', 'being', 'used', 'as', 'a', 'method', 'to', 'get', 'people', 'to', 'get', 'the', 'booster', '.', 'When', 'will', 'it', 'end', '?']"
961,"['#', 'Omicron', 'reaches', '#', 'Assam', '.', 'First', 'case', 'detects', 'from', 'Balipara', ',', 'Sonitpur', '.', 'Patient', 'is', 'a', 'returnee', 'from', 'Saudi', 'Arabia', '.', 'Patient', 'Name', 'is', 'Surya', 'Bahadur', 'Tamang', '.', '@', 'chettri_urvashi', '@', 'PSTamangGolay', '@', 'prernachettri', '@', 'SandhyaDahal_20', '@', 'NELiveTV']"
962,"['What', 'is', 'the', 'timeframe', 'between', 'testing', 'positive', 'for', 'Covid', 'and', 'genomic', 'sequencing', 'confirmation', 'of', 'Omicron', 'variant', '?', 'Seems', 'strange', 'that', 'the', '10', 'new', 'confirmed', 'cases', 'are', 'included', 'in', 'today', '’', 's', 'numbers-', 'shouldn', '’', 't', 'they', 'have', 'been', 'counted', 'at', 'the', 'time', 'of', 'testing', 'positive', '?']"
963,"['@', 'EOHU_tweet', 'When', 'you', 'have', '100s', 'unfilled', ',', 'any', 'chance', 'you', 'can', 'offer', '3rd', 'doses', 'to', 'anyone', 'past', 'their', '168', 'days', '?', 'Otherwise', 'there', 'will', 'be', 'a', 'major', 'bottleneck', 'come', 'Jan.', '4th', '&', 'amp', ';', 'Omicron', 'will', 'already', 'be', 'a', 'disaster', ':', '(']"
964,"['NSW', 'Coronavirus', 'Update', ':', 'A', 'person', 'who', 'contracted', 'the', 'Omicron', 'variant', 'of', 'COVID-19', 'has', 'been', 'admitted', 'to', 'hospital', 'in', 'NSW', '.', 'NSW', 'recorded', '2', 'deaths', 'and', '485', 'new', 'cases', 'of', 'COVID-19', 'overnight', '.', 'https', ':', '//t.co/9UEyrqfKX8', '#', '7NEWS', 'https', ':', '//t.co/PaYS0cKqwQ']"
965,"['How', 'to', 'evaluate', 'Pfizer', ""'s"", 'claim', 'its', 'booster', 'works', 'against', 'omicron', 'https', ':', '//t.co/UY5gw75EcA']"
966,"['@', 'Billius27', 'Israeli', 'researchers', 'say', 'they', 'found', 'that', 'a', 'three-shot', 'course', 'of', 'the', 'Pfizer/BioNTech', 'COVID-19', 'vaccine', 'provided', 'significant', 'protection', 'against', 'the', 'new', 'Omicron', 'variant', '.', 'https', ':', '//t.co/N5fgd13zPI']"
